Date,Market Cap (USD),Number of Coins
5/4/2017,682778109.5,1.02882E+11
5/5/2017,1094138195,1.02882E+11
5/6/2017,2184536704,1.02882E+11
5/7/2017,4392392132,1.02882E+11
5/8/2017,4119191605,1.02882E+11
5/9/2017,2889038070,1.02901E+11
5/10/2017,3272301743,1.02901E+11
5/11/2017,3792621788,1.02901E+11
5/12/2017,4126428709,1.02901E+11
5/13/2017,3879338069,1.02901E+11
5/14/2017,3993844432,1.02901E+11
5/15/2017,4441600900,1.02901E+11
5/16/2017,5156987980,1.02901E+11
5/17/2017,4969951911,1.02921E+11
5/18/2017,4724555650,1.02921E+11
5/19/2017,5106963134,1.02921E+11
5/20/2017,5507892490,1.02921E+11
5/21/2017,6437858691,1.02921E+11
5/22/2017,5260043722,1.02921E+11
5/23/2017,5680315103,1.02921E+11
5/24/2017,5244213283,1.02921E+11
5/25/2017,4180944439,1.0294E+11
5/26/2017,4243946153,1.0294E+11
5/27/2017,3406440400,1.0294E+11
5/28/2017,3772617162,1.0294E+11
5/29/2017,3886586818,1.0294E+11
5/30/2017,3196063376,1.0294E+11
5/31/2017,3526889825,1.0294E+11
6/1/2017,4368303616,1.0294E+11
6/2/2017,4178627853,1.0294E+11
6/3/2017,4011678950,1.0294E+11
6/4/2017,4107325700,1.0296E+11
6/5/2017,4246951698,1.0296E+11
6/6/2017,4558647331,1.0296E+11
6/7/2017,4946184879,1.0296E+11
6/8/2017,5176659559,1.0296E+11
6/9/2017,4834505646,1.0296E+11
6/10/2017,4376036720,1.0296E+11
6/11/2017,4718845789,1.0298E+11
6/12/2017,4132381682,1.0298E+11
6/13/2017,4268217749,1.0298E+11
6/14/2017,4021175249,1.0298E+11
6/15/2017,3750820910,1.0298E+11
6/16/2017,3818028497,1.0298E+11
6/17/2017,4150925031,1.0298E+11
6/18/2017,3936648128,1.0298E+11
6/19/2017,4308388749,1.02999E+11
6/20/2017,4279771332,1.02999E+11
6/21/2017,3967880884,1.02999E+11
6/22/2017,4067378159,1.02999E+11
6/23/2017,4123626142,1.02999E+11
6/24/2017,3803557376,1.02999E+11
6/25/2017,3325672133,1.02999E+11
6/26/2017,3067715393,1.03019E+11
6/27/2017,2985572706,1.03019E+11
6/28/2017,3300556003,1.03019E+11
6/29/2017,3009472106,1.03019E+11
6/30/2017,2764726984,1.03039E+11
7/1/2017,2509436106,1.03039E+11
7/2/2017,2651971996,1.03039E+11
7/3/2017,2694355725,1.03039E+11
7/4/2017,2664807063,1.03039E+11
7/5/2017,2626180528,1.03039E+11
7/6/2017,2629765896,1.03039E+11
7/7/2017,2100216550,1.03058E+11
7/8/2017,2220701295,1.03058E+11
7/9/2017,2022125156,1.03058E+11
7/10/2017,1500729147,1.03058E+11
7/11/2017,1490892851,1.03078E+11
7/12/2017,1822908572,1.03078E+11
7/13/2017,1779860826,1.03078E+11
7/14/2017,1689917028,1.03078E+11
7/15/2017,1795893218,1.03078E+11
7/16/2017,1592299872,1.03078E+11
7/17/2017,1928706902,1.03078E+11
7/18/2017,1937818933,1.03098E+11
7/19/2017,1766639569,1.03098E+11
7/20/2017,1926200885,1.03098E+11
7/21/2017,1960783560,1.03098E+11
7/22/2017,2371717953,1.03098E+11
7/23/2017,2279170659,1.03098E+11
7/24/2017,2339873503,1.03098E+11
7/25/2017,1913754105,1.03117E+11
7/26/2017,1949141507,1.03117E+11
7/27/2017,1883343539,1.03117E+11
