date,txvolume_usd,adjustedtxvolume_usd,txcount,marketcap_usd,price_usd,exchangevolume_usd,generatedcoins,fees,activeaddresses,mediantxvalue_usd,medianfee,averagedifficulty,paymentcount,blocksize,blockcount
10/21/15,300892.7906,300892.7906,6182,31984360.15,0.431589,609085,26046.40625,10.15585773,1521,0.874864509,0.00105,5.87566E+12,5853,3862938,4990
10/22/15,277738.1924,277738.1924,5979,32988091.32,0.444988,924822,25330.78125,13.20050484,1389,0.905038942,0.00105,5.73449E+12,5262,3781867,4835
10/23/15,461615.5472,461615.5472,6888,42001353.63,0.56637,878822,27554.84375,13.74794139,1523,1.14371187,0.00105,5.87881E+12,6097,4302628,5263
10/24/15,53939.42361,53939.42361,6361,40036081.63,0.539681,258356,27118.75,10.69663822,1635,1.086158602,0.00105,6.28828E+12,5642,3984632,5171
10/25/15,148297.6943,148297.6943,5830,41795712.89,0.563207,635384,26814.21875,9.079512126,1497,1.224210374,0.00105,6.58925E+12,5255,3825113,5096
10/26/15,443466.6582,443466.6582,5938,46006457.63,0.619743,1089120,25912.1875,10.77326712,1655,1.408126375,0.00105,6.54104E+12,5568,3757017,4908
10/27/15,1372436.688,1372436.688,6784,52642760.22,0.70889,1846370,27529.375,18.90289758,1706,1.922589604,0.00105,6.54175E+12,6308,4253235,5220
10/28/15,854745.5142,854745.5142,7346,64858634.41,0.870938,2373050,26344.6875,10.89869663,1700,1.584354887,0.00105,6.84579E+12,6376,4013532,4967
10/29/15,842095.345,842095.345,7836,74847399.73,1.01,2279240,27510.78125,12.55075174,1974,2.036809584,0.00105,7.04008E+12,6849,4200572,5158
10/30/15,1471879.917,1471879.917,7941,90054037.09,1.21,2429200,27720.15625,13.46632166,2219,2.448398048,0.00105,7.42861E+12,7475,4085921,5232
10/31/15,290451.178,290451.178,7557,78081418.51,1.05,673892,27751.5625,15.4824256,1987,2.125342244,0.00105,7.79289E+12,7044,4164422,5129
11/1/15,134392.4681,134392.4681,6915,68221091.6,0.920847,588913,28180.15625,16.17026107,2131,2.176014762,0.00105,7.78066E+12,6442,4041277,5158
11/2/15,377379.3853,377379.3853,6558,78879020.3,1.06,1145200,27134.21875,10.39601397,2039,2.971903715,0.00105,7.68975E+12,6153,3914620,5024
11/3/15,591838.2052,591838.2052,7399,74281540.49,0.994568,1907690,27605.78125,12.24035099,2066,2.281154505,0.00105,7.33279E+12,6917,4292035,5085
11/4/15,820219.0878,820219.0878,7037,75209842.95,1.01,3060340,27716.40625,9.392856951,2039,2.775536262,0.00105,7.74259E+12,6769,3906926,5125
11/5/15,347969.5561,347969.5561,7498,67093717.02,0.900699,1179840,27291.40625,10.59389052,1914,1.867310414,0.00105,7.58249E+12,7105,4150754,5103
11/6/15,2136224.922,2136224.922,7882,67420375.78,0.904772,913666,27422.1875,15.93627016,1807,1.137354138,0.00105,7.59223E+12,6069,4175396,5142
11/7/15,1153505.065,1153505.065,10996,68855967.8,0.923732,890187,26715.3125,32.07991979,2067,0.09041294,0.00105,7.54991E+12,6323,4945717,4922
11/8/15,897529.376,897529.376,12413,68109610.39,0.915661,1021460,27289.0625,29.52687888,2271,0.17559425,0.00105,7.70929E+12,9216,5096742,5021
11/9/15,1755591.932,1755591.932,7689,76829019.33,1.03,2045290,27059.53125,11.26310292,2060,2.095241482,0.00105,7.7541E+12,7158,3948544,5024
11/10/15,895669.1068,895669.1068,8151,74616525.11,1,854581,27444.0625,15.35119263,1826,1.69077954,0.00105,7.76E+12,7010,4213239,5053
11/11/15,287706.3017,287706.3017,10217,70259910.26,0.941296,1278580,27819.0625,23.07679133,2033,0.998911053,0.00105,7.67324E+12,7151,5249976,5028
11/12/15,227016.8408,227016.8408,9534,59468993.3,0.796455,806156,28032.03125,25.8891012,1807,0.973069693,0.00105,7.74619E+12,6980,4439332,5079
11/13/15,463697.633,463697.633,7891,67800189.66,0.907722,543671,28185.15625,14.58330246,1805,1.603094111,0.00105,7.87006E+12,6790,4134803,5119
11/14/15,282826.6429,282826.6429,7211,67655100.65,0.905469,372514,28357.65625,18.53403351,1797,1.926110243,0.00105,7.91317E+12,6807,4806663,5127
11/15/15,181379.1904,181379.1904,7170,66613350.79,0.891217,411848,28120.15625,11.48397409,1759,1.96089562,0.00105,8.25951E+12,6846,4142543,5195
11/16/15,466898.6426,466898.6426,7442,67753565.8,0.906166,620945,27395.15625,10.26963597,1867,1.972337482,0.00105,8.32705E+12,7032,3940618,5039
11/17/15,1870147.85,1870147.85,7145,69043395.5,0.924948,1145440,27793.59375,9.596829651,1901,2.071805038,0.00105,8.15308E+12,6825,3935388,5163
11/18/15,577499.733,577499.733,7373,74312912.83,0.993214,681104,27252.03125,10.3214754,1859,2.06588512,0.00105,8.54964E+12,7061,3926943,5075
11/19/15,274068.1857,274068.1857,8876,74000793.03,0.988713,443528,26563.4375,15.86393951,1864,1.304420614,0.00105,8.80654E+12,6867,4389232,4977
11/20/15,186009.7407,186009.7407,6348,71555091.65,0.955735,614335,25130.46875,11.98689924,1763,1.91147,0.00105,7.97499E+12,5887,3843748,4721
11/21/15,124836.2598,124836.2598,6822,69558713.58,0.928758,455976,26782.1875,11.24491006,1710,1.967181284,0.00105,7.60055E+12,6385,4188016,5035
11/22/15,250887.0663,250887.0663,7083,73403587.37,0.979765,372173,26988.59375,11.24171533,2015,1.774148675,0.00105,7.53335E+12,6638,4117498,5049
11/23/15,673304.1358,673304.1358,8260,72508777.49,0.967493,441875,27272.34375,13.31608472,1738,1.599828565,0.00105,7.56602E+12,6805,4390402,5089
11/24/15,373148.1268,373148.1268,7152,70954795.36,0.946442,524195,26848.125,12.96649103,1820,1.9875282,0.00105,7.66457E+12,6670,4142949,5001
11/25/15,170091.3643,170091.3643,7098,67032296.77,0.893827,622991,26471.875,12.45963099,1710,1.786942786,0.00105,7.51685E+12,6736,3986495,4940
11/26/15,845646.2477,845646.2477,7278,64762236.02,0.863273,947473,26538.4375,9.30701048,1804,1.72619782,0.00105,7.49761E+12,6967,3873523,4940
11/27/15,1128436.179,1128436.179,6639,66197450.82,0.8821,403813,27886.875,9.399192619,1660,1.708935477,0.00105,7.4697E+12,6198,4086725,5174
11/28/15,107400.957,107400.957,6817,65168699.45,0.868102,462464,27201.09375,14.56713057,1651,2.065886378,0.00105,7.72077E+12,6414,3875629,5008
11/29/15,174571.7515,174571.7515,6853,68648188.53,0.914144,448358,27350.9375,9.090792117,1666,1.876507798,0.00105,7.72149E+12,6497,3920100,5050
11/30/15,208812.7653,208812.7653,8986,66102781.54,0.879951,784439,27360,20.81575154,1782,1.054394215,0.00126,7.78084E+12,6402,4387578,5080
12/1/15,212413.9648,212413.9648,6794,66002281.73,0.878316,652857,27542.8125,13.07438894,1763,1.843188588,0.00105,7.87349E+12,6263,4302400,5078
12/2/15,261911.8847,261911.8847,6502,65636709.9,0.873171,506307,26007.03125,11.43812253,1673,1.773442822,0.00105,7.818E+12,5900,3951899,4824
12/3/15,185566.7045,185566.7045,6971,61551790.16,0.818546,539969,28063.28125,10.66607761,1758,1.786362532,0.00105,7.58832E+12,6531,4050622,5205
12/4/15,152756.6354,152756.6354,6898,61086062.82,0.812082,241278,26679.375,12.37234232,1742,1.597103073,0.00105,7.83302E+12,6218,4024546,5008
12/5/15,121669.6472,121669.6472,6784,63297034.22,0.841195,232743,26581.875,13.08482451,1716,1.631752795,0.00105,8.16374E+12,6212,4181847,5006
12/6/15,210280.2203,210280.2203,9103,65216208.3,0.866417,443608,26255.78125,17.14740422,2006,1.200855781,0.00105,7.85211E+12,8453,4307630,4913
12/7/15,379014.0928,379014.0928,7141,62971718.69,0.836322,520409,26718.90625,9.642772252,1952,1.794579104,0.00105,7.64825E+12,6773,3851136,4971
12/8/15,167332.8065,167332.8065,6697,60710199.5,0.806024,445903,26312.5,9.146200894,1757,1.651381117,0.00105,7.54799E+12,6341,3786457,4911
12/9/15,235236.9091,235236.9091,7001,62119814,0.824454,624221,28324.0625,10.13698943,1748,1.749487074,0.00105,7.35017E+12,6591,4056370,5208
12/10/15,177769.1454,177769.1454,7444,59965496.03,0.79559,369589,27477.34375,11.34093504,1779,1.456419972,0.00105,7.77276E+12,6704,4218808,5144
12/11/15,268369.6055,268369.6055,8105,63333623.84,0.839995,801072,27022.8125,16.85244379,1787,1.368496838,0.00105,8.0603E+12,6775,4476529,5062
12/12/15,495197.9942,495197.9942,8205,70233643.01,0.931196,1376280,27206.5625,23.12314318,2152,1.293668354,0.001142422,8.04509E+12,6354,4651079,5076
12/13/15,316448.9199,316448.9199,7426,73301964.2,0.971538,273614,27907.34375,18.73210971,1967,1.804354252,0.00105,8.47226E+12,6574,4459661,5280
12/14/15,695206.2839,695206.2839,15550,72200340.14,0.95662,563436,26708.59375,74.65243956,2186,9.5662E-19,0.00453285,8.57589E+12,6653,8758730,4999
12/15/15,542037.3216,542037.3216,21098,75096534.44,0.990589,578618,27014.53125,114.4078583,2164,9.90589E-19,0.005674288,8.76853E+12,6755,9300104,5070
12/16/15,1604245.099,1604245.099,10304,77035199.97,1.02,320767,26457.34375,44.21678187,2153,1.038577852,0.00126,8.56244E+12,6253,6055920,4982
12/17/15,438522.0891,438522.0891,9612,75024374.85,0.993043,640765,26883.125,32.40107521,2402,1.433496766,0.00105,8.73409E+12,7190,5328544,5060
12/18/15,232376.9214,232376.9214,9032,70914129.29,0.938327,300787,26671.5625,32.18142145,2184,1.247090194,0.00126,8.77961E+12,6407,5306336,5020
12/19/15,211146.703,211146.703,9314,69667413.1,0.921524,343535,26694.53125,28.51623093,2188,1.293660834,0.00105,8.71861E+12,6954,5084365,5038
12/20/15,194173.1957,194173.1957,9879,68685659.92,0.90824,472164,26436.09375,34.42717002,2209,0.955437182,0.00126,8.53995E+12,6353,5458591,4947
12/21/15,217412.4732,217412.4732,12063,68543736.63,0.906065,549113,26457.8125,39.119194,2315,0.558529952,0.00126,8.51285E+12,7008,5829823,4976
12/22/15,215207.4868,215207.4868,21027,67727543.29,0.894973,454249,27374.375,59.16252572,2312,8.94973E-19,0.0023673,8.74021E+12,7450,10489581,5129
12/23/15,125607.9036,125607.9036,22740,65237828.5,0.861782,334993,27399.375,81.42599075,2215,0,0.003658263,8.53192E+12,7122,7891935,5112
12/24/15,108877.4613,108877.4613,13494,65081582.44,0.859433,354646,26686.5625,45.75463786,2235,0.192943653,0.00126,8.56851E+12,7345,6483604,5018
12/25/15,59761.67498,59761.67498,9521,65297336.23,0.861993,187114,26803.59375,26.5940593,2159,1.013796528,0.00105,8.54603E+12,7177,5292094,5080
12/26/15,130196.3154,130196.3154,10726,65983687.19,0.870766,425282,26560.15625,31.29618519,2284,0.913124952,0.001233095,8.45564E+12,7308,5373325,5004
12/27/15,69809.28251,69809.28251,21867,64671429.38,0.853166,164565,26853.75,86.63434503,2215,0,0.003974725,8.58875E+12,7286,7904787,5018
12/28/15,405879.4236,405879.4236,12368,64934992.42,0.856356,235134,27057.96875,36.40049069,2423,0.861170844,0.00126,8.53189E+12,7727,6294793,5081
12/29/15,241735.17,241735.17,11358,64006581.11,0.843835,215742,26661.09375,33.18921105,2393,0.871049181,0.00126,8.60544E+12,7656,5975584,4981
12/30/15,188482.7715,188482.7715,21767,66336196.82,0.874258,604078,26736.25,76.132284,2363,0,0.003292147,8.47753E+12,6493,7863313,5028
12/31/15,382489.0833,382489.0833,10301,69230373.2,0.912098,663994,26908.28125,25.06732465,2578,1.203651612,0.00105,8.54267E+12,8089,5328974,5040
1/1/16,324206.495,324206.495,8233,70893722.28,0.933712,206062,26070.3125,15.65089494,2350,1.505836997,0.00105,8.54742E+12,7109,4321262,4885
1/2/16,246973.2238,246973.2238,9164,71957219.07,0.947401,255504,27383.90625,19.35979081,2410,1.321729617,0.00105,8.14747E+12,7374,4858390,5095
1/3/16,350244.5871,350244.5871,9258,71299932.1,0.93843,407632,27675.78125,19.44831668,2454,1.262717015,0.00105,8.31241E+12,7532,4903207,5134
1/4/16,150683.4896,150683.4896,9474,73878706.39,0.972045,346245,27420.625,21.3104319,2538,1.237346841,0.00105,8.33416E+12,7516,5000778,5096
1/5/16,989846.0585,989846.0585,16430,72466856.29,0.953147,219833,27839.21875,60.3564445,2534,9.53147E-19,0.003129387,8.30586E+12,7611,7155015,5126
1/6/16,512314.35,512314.35,17074,72253871.68,0.950028,308791,27625.46875,66.53391845,2645,9.50028E-19,0.0029845,8.42269E+12,7917,7902225,5090
1/7/16,352178.0902,352178.0902,22075,72716743.06,0.955801,647462,27022.1875,65.5065476,2683,0,0.0029813,8.21011E+12,8136,7718921,4981
1/8/16,199860.1775,199860.1775,10919,71748362.75,0.942752,545600,27996.71875,26.04950754,2610,1.03614139,0.00105,8.3024E+12,8488,5588918,5176
1/9/16,308344.6899,308344.6899,11793,75026905.87,0.985501,226281,27595.78125,39.30051752,2624,1.017761671,0.00126,8.4328E+12,7999,6166658,5099
1/10/16,139831.8311,139831.8311,10320,75056285.98,0.985557,390888,27287.96875,26.32605277,2797,1.163759173,0.00105,8.33674E+12,8124,5315621,5093
1/11/16,511382.0615,511382.0615,10893,76236894.7,0.999216,1011920,27005.15625,25.51356511,2950,1.158187329,0.00105,8.82819E+12,8605,5403609,5107
1/12/16,1066686.979,1066686.979,10862,81612322.12,1.07,2898760,25900.78125,25.63072227,2986,1.368304965,0.00105,8.88994E+12,8533,5392622,4930
1/13/16,498707.9504,498707.9504,17665,86534647.86,1.14,1005910,26535.3125,60.31260944,2815,1.14E-18,0.00293852,8.48367E+12,8369,7119076,5002
1/14/16,377383.2944,377383.2944,10653,85378257.88,1.12,751961,26919.21875,26.77617641,2752,1.241872442,0.00105,8.73531E+12,8204,5405058,5090
1/15/16,1149275.804,1149275.804,9875,89865005.47,1.18,3910550,26797.34375,23.16012422,3125,1.641087466,0.00105,8.99616E+12,7973,5115619,5084
1/16/16,715773.7567,715773.7567,10664,93117298,1.22,2462630,26523.125,22.65025706,2665,1.575046053,0.00105,9.20236E+12,8428,4881399,5046
1/17/16,467366.8675,467366.8675,9747,92948708.72,1.22,1171150,26599.84375,17.0397022,2578,1.586456988,0.00105,9.06803E+12,7990,4464778,5036
1/18/16,3463996.036,3463996.036,12916,101296280.3,1.33,4278930,26620.15625,30.91880998,3050,1.419459883,0.001259024,9.45395E+12,8823,5359464,5072
1/19/16,1784026.669,1784026.669,13420,108573765.9,1.42,2446740,26092.8125,35.57695823,2845,0.748536815,0.00126,9.53864E+12,8032,5502641,4972
1/20/16,831118.1324,831118.1324,10610,104038641.8,1.36,2933220,26542.5,19.01349187,3350,2.135035964,0.00105,9.41392E+12,8817,4831186,5038
1/21/16,765663.2271,765663.2271,10734,117211690,1.53,1614960,25919.21875,20.29597583,2901,2.100888472,0.00105,9.5985E+12,9318,4682773,4963
1/22/16,1439222.625,1439222.625,13848,118610200.5,1.55,1567240,26255,31.18132507,2977,1.598256832,0.00126,9.89702E+12,9194,5144050,5007
