date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-05-22,761,231715,5903605620.0488580589832,0.373847199811402,11.71806724664651970911606226,0.0001,0.00313445366250116,2002.32560219,62761.968173042862185735404,0,0,310.63654504,,0.004087759097019291,31.3445366250116,,31.246368870135477,188345602,8353,2323,606321.45511072,19004865.05624828979899928435,281.419151661425,8820.95290623122997434989753,9.9843,312.95325702510331788,653736.68930949,20491073.60117513861066724008,,0.05842215136044685,
2019-05-23,641,231736,5967934318.9897029661454,0.255635971141053,8.100102519733651631794481873,0.0001,0.00316860826885127,1032.76932341,32724.414179728574958192307,0,0,343.00394858,,0.004012180799420947,31.6860826885127,,38.98989269205689,188345602,6216,1803,549106.22102481,17399025.12416886051900870009,351.113457113217,11125.41003513895150914924236,10.70622536,339.238342038811649422072,633057.56317513,20059114.29335552161778932915,,0.0574723281604462,
2019-05-24,796,233765,6420676235.4558921018496,0.293055500633641,9.990222594037783257418946157,0.0001,0.00340898654774848,5204.37263575,177416.3630474205008565616,0,0,349.06168671,,0.004268115324515134,34.0898654774848,,47.821720427648565,188345602,34600,2196,539576.84033862,18394101.90190984978001790298,280.948584416749,9577.499448856755789399512915,9.52321475,324.6451097406990402608,616963.09137918,21032188.78968940830526948646,,0.058582268900117654,
2019-05-25,779,235673,6639813358.1090368249314,0.000160122245668492,0.005644845509692708633487040404,0.0001,0.00352533496275057,4.02931619,142.046892405839186327283,0,0,257.0961202,,0.004373001098772644,35.2533496275057,,60.79421161286952,188345602,51040,1958,732588.2703207,25826190.42662529440368007799,425.322615635582,14994.04687348639471435482782,10.9975,387.69871252849393575,832781.68141447,29358343.77828637650319398748,,0.057435763390023035,
2019-05-26,776,235403,6367477451.3553894543634,0.000147392785041641,0.00498296867715085274457399701,0.0001,0.00338074124574217,4.83610467,163.496185265953259529339,0,0,307.58208674,,0.0038718794973699533,33.8074124574217,,51.060771667502415,188345602,66509,2199,612342.55869422,20701717.44700845173889989257,304.000799759827,10277.48042486653506522365805,16.51383707,558.290101080150266082419,668497.75867186,22600179.45428152504419194336,,0.05838206461715383,
2019-05-27,964,235097,6355415747.5769742548386,0.190710797362673,6.435225414988417273527493869,0.0001,0.00337433721843793,5004.63274439,168873.185340083365247707127,0,0,125.54905955,,0.0038271734703974373,33.7433721843793,,53.97821171885986,188345602,51629,3078,1500175.33123928,50620974.5438315235033265789,518.456354486764,17494.46573080336644902940559,22.1767105,748.31699622673235829265,1595808.65911026,53847965.51941277569740836162,,0.05809290650991599,
2019-05-28,1448,233210,6238825713.9776535499098,0.00112960474255447,0.037417423288067723639442525,0.0001,0.00331243503842349,25.18566734,834.258869630941371818166,0,0,302.95576201,,0.003799044876793805,33.1243503842349,,48.14067257145462,188345602,41658,4313,621693.41408803,20593190.47982314332327279825,151.950857618818,5033.273448950716600380772348,14,463.7409053792886,655364.04890996,21708508.3853243733225135896,,0.05838889216526432,
2019-05-29,1869,232954,6334311073.9159421836672,0.149308410008442,5.021438806653186705051259891,0.0001,0.00336313192697536,3034.3948166,102050.70086756002099918976,0,0,385.89862346,,0.003885548371522753,33.6313192697536,,57.437381461742554,188345602,38508,3392,488070.15767228,16414443.29871542822198515021,183.958979746212,6186.783180382991852495773363,2.64127701,88.829630403170172044736,623988.85929915,20985568.54785907123468918944,,0.05732390194995898,
2019-05-30,1895,232393,5976530842.7175556010254,0.437120533442464,13.87058854766376129966410745,0.0001,0.00317317249739527,5034.75430419,159761.438891981671962471813,0,0,508.91219841,,0.003836215571166621,31.7317249739527,,45.536914014214446,188345602,19798,3458,370094.49289423,11743736.66289419816198612292,133.358187460014,4231.685327505992027922777338,2.49701988,79.234748086652374079676,461152.61223673,14633167.86251577082253622267,,0.0588478303146676,
2019-05-31,2968,232076,6188075109.2791934084844,0.51849360661325,17.03505336643777916248860915,0.0005693,0.01870429212205679646,5024.72154169,165086.702174181183843726918,0,0,505.78542741,,0.0038398834190531846,32.8548957000822,,52.037850599627376,188345602,14495,4718,372382.42106579,12234585.60466062312311460794,80.2810783540017,2637.62645601085263576338894,3.99645885,131.30323868642045391747,378766.12767418,12444321.6194592020587208176,,0.058840069543654366,
